Type,State,Title,Application Start,Application End,Official Link,Apply Link,Status
Result,Arunachal Pradesh,Final Result — Special Recruitment Drive for Uniformed Services Combined Examination 2026 — 01/09/2026,,,https://apssb.nic.in/Index/notice,,Declared
Admit Card,Arunachal Pradesh,Combined Higher Secondary Level Examination 2026 — Admit Card,,,https://apssb.nic.in/Index/admit_card/ins/RECINS001,,Open
Result,Arunachal Pradesh,CGLE-2026 Answer Key Challenge Notice — 03/09/2026,,,https://apssb.nic.in/Index/notice,,Live
Admit Card,Assam,FLN Mission — Data Analyst Skill Test / Interview — Admit Card,,,https://ssa.assam.gov.in/latest/public-notice-fln-skill-testinterview,,Open
Admit Card,Assam,PM POSHAN — Skill Test / Interview — Admit Card,,,https://ssa.assam.gov.in/latest/public-notice-skill-test-pm-poshan,,Open
Result,Chandigarh,Result of Computer Typing Test (English) — 31/08/2026,,,https://chandigarh.gov.in/orders-notifications,,Declared
Job,Chandigarh,Recruitment of Clerk & Steno — Department of Personnel,,,https://chandigarh.gov.in/public-notices/vacancies,,Open
Job,Goa,"Walk-In-Interview — Finance Controller, Goa State Biodiversity Board",,,https://www.goa.gov.in/citizen/recruitment/,,Open
Job,Goa,Walk-In-Interview — Samagra Shiksha Goa,,,https://www.goa.gov.in/citizen/recruitment/,,Open
Result,Goa,Goa Recruitment Examination Results — 04/09/2026,,,https://www.goa.gov.in/citizen/recruitment-results/,,Declared
Job,Bihar,BTSC 2026 recruitment notices — latest official recruitment list,24/07/2026,23/08/2026,https://btsc.bihar.gov.in/recruitment,,Closed
Result,Kerala,Kerala PSC Latest Results / Ranked Lists — 03/09/2026,,,https://www.keralapsc.gov.in/rankedlist,,Declared
Admit Card,Kerala,L D Clerk (By Transfer) — Admission Ticket,,,https://www.keralapsc.gov.in/result-notifications,,Open
Job,Kerala,Extra Ordinary Gazette — Cat. 130/2026 to 150/2026,31/08/2026,07/10/2026,https://www.keralapsc.gov.in/notifications,,Open
Result,Andhra Pradesh,Deputy Educational Officer — Selection Notification No. 14/2023 — 02/09/2026,,,https://portal-psc.ap.gov.in/HomePages/DRSelectionLists,,Declared
Admit Card,Uttar Pradesh,Research Assistant (Engineering) Examination-2025 — Admit Card,,,https://uppsc.up.nic.in/,,Open
Admit Card,Uttar Pradesh,Lecturer U.P. Technical Education Service Examination-2025 — Admit Card,,,https://uppsc.up.nic.in/,,Open
Job,Uttar Pradesh,"Professor / Assistant Professor — Medical Education (Allopathy), Advt. D-1/E-1/2026",18/08/2026,01/09/2026,https://uppsc.up.nic.in/CandidatePages/Notifications.aspx,,Closed
Job,Uttar Pradesh,Miscellaneous Examination — Advt. A-2/E-1/2026 & A-3/E-1/2026,03/08/2026,03/09/2026,https://uppsc.up.nic.in/CandidatePages/Notifications.aspx,,Closed
Job,Odisha,Radiographer-2026 — Online Recruitment Application,31/08/2026,30/09/2026,https://www.osssc.gov.in/,,Open
Result,Odisha,"RI, ICDS Supervisor, ARI, Amin & SFS — Counselling Update — 01/09/2026",,,https://www.osssc.gov.in/,,Live
Result,Odisha,Sevak/Sevika and Tribal Language Teacher — Provisional Results — 21/08/2026,,,https://www.osssc.gov.in/,,Declared
Admit Card,Rajasthan,Assistant Professor (Medical Education) 2024 — Interview Letter — 03/09/2026,,,https://rpsc.rajasthan.gov.in/examlinks,,Open
Upcoming,Rajasthan,Rajasthan State and Subordinate Services Combined Competitive Exam 2026 — Mains: 02/05/2027,,,https://rpsc.rajasthan.gov.in/proposedexamdate,,Upcoming
Job,Tamil Nadu,Combined Technical Services Examination (Non-Interview Posts) — Notification No. 04/2026,27/05/2026,25/06/2026,https://tnpsc.gov.in/web/examdashboard/index.aspx,,Closed
Admit Card,Tamil Nadu,TNPSC Combined Technical Services — Hall Ticket,,,https://www.tnpsc.gov.in/english/Department_Hallticket.aspx,,Open
Admit Card,Central Government,UPSC Civil Services Examination 2026 — Main Examination e-Admit Card,,,https://www.upsc.gov.in/examinations/Civil%20Services%20(Main)%20Examination%2C%202026,,Open
Result,Central Government,UPSC Combined Medical Services Examination 2026 — Written Result — 01/09/2026,,,https://www.upsc.gov.in/exams-related-info/exam-notification/archives,,Declared
Upcoming,Central Government,UPSC CDS (II) 2026 — Examination 13 September 2026,,,https://www.upsc.gov.in/exams-related-info/exam-notification/archives,,Upcoming
Upcoming,Central Government,UPSC NDA & NA (II) 2026 — Examination 13 September 2026,,,https://www.upsc.gov.in/exams-related-info/exam-notification/archives,,Upcoming
Job,Central Government,UPSC Advertisement No. 10/2026 — Current Advertisement,08/08/2026,28/08/2026,https://www.upsc.gov.in/whats-new,,Closed
Exam,Central Government,SSC CGL 2026 — Tier-I current cycle,,,https://ssc.gov.in/,,Current
Exam,Central Government,SSC JE 2026 — Paper-I current cycle,,,https://ssc.gov.in/,,Current
Exam,Central Government,SSC Stenographer Grade C & D 2026 — current exam window,,,https://ssc.gov.in/,,Current
Upcoming,Central Government,SSC MTS & Havaldar 2026 — September to November exam window,,,https://ssc.gov.in/,,Upcoming
Job,Central Government,"India Post GDS Online Engagement — Schedule-II, July 2026",02/09/2026,21/09/2026,https://www.indiapost.gov.in/gdsonlineengagement,,Open
